StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,MobileDev,Q_TotalDuration,AmazonId,treatment
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_6i1vIsUn9d0A9sG,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_9M6lJdSARNoFvOC,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_7PSiqTe4zCJsLyK,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_6myadiDGi1S98Dc,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_bCSXKDct6dFeFJc,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:45,2021-12-06 00:11:45,Survey Test,,100,0,True,2021-12-06 00:11:45,R_0PbsvdEDF8SpFl4,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_5v7WS3gWs6zg1Wm,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should somewhat increase admissions of refugees and asylum seekers.,My city of residence should resettle somewhat more refugees and asylum seekers.,Refugees/asylum seekers are significantly more dangerous than the average resident in the US.,Strongly agree,Strongly disagree,Significantly more likely,Conservative,Democratic,"Not an immigrant, but at least one parent is an immigrant",High school or equivalent,Hispanic or Latino,31,"$75,000 to $99,999",Prefer not to say,None,"Pharetra vestibulum praesent laoreet erat, natoque? Lorem enim, aenean cras urna cras curabitur.",0,0,,"Some policymakers highlight the dangers of accepting refugees and asylum seekers. They say there is a risk of the refugee or asylum seeker being a member of a gang or terrorist group, and increasing admissions would increase crime in the United States."
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_9uAgz28dISMXM5U,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_8fhaL2xqyT8rouG,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle the same number of refugees and asylum seekers.,Refugees/asylum seekers are somewhat less dangerous than the average resident in the US.,Disagree,Agree,Less likely,,Democratic,"Not an immigrant, but at least one parent is an immigrant",Bachelor's degree,Other,86,"$35,000 to $49,999",Male,"Catholic ",Risus accumsan. Mauris sit temporibus luctus. Gravida! Neque ultrices vel montes laoreet sit consequat.,0,0,,"Some policymakers highlight chaos at the southern border. They say the overwhelming influx of illegal immigrants and asylum seekers trying to enter the country has caused loss of control of the border, delegitimizing our asylum system."
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_1XpfeJlmTxqUOnY,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle significantly less refugees and asylum seekers.,Refugees/asylum seekers pose the same level of danger compared to the average resident in the US.,Neither agree nor disagree,Disagree,No change,Decline to answer,Republican,"Not an immigrant, parents and grandparents are not immigrants",High school or equivalent,"Black or African American, not Hispanic/Latino",97,"$75,000 to $99,999",Female,Jewish,"Maecenas facilisi, elementum interdum nulla venenatis venenatis, elementum vestibulum atque ultrices.",0,0,,There is an ongoing discussion on how to reform asylum and refugee policy.
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_3QJLqWXf5W3gw1E,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should somewhat increase admissions of refugees and asylum seekers.,My city of residence should resettle the same number of refugees and asylum seekers.,Refugees/asylum seekers pose the same level of danger compared to the average resident in the US.,Strongly disagree,Neither agree nor disagree,More likely,Conservative,Independent,Immigrant (foreign born),Associate degree,"White, not Hispanic/Latino",18,"$20,000 to $34,999",Prefer not to say,None,"Blandit nec phasellus tempor rhoncus quis accusamus pharetra pellentesque sapien. Erat posuere, pellentesque venenatis pretium.",0,0,,"Some policymakers highlight the dangers of accepting refugees and asylum seekers. They say there is a risk of the refugee or asylum seeker being a member of a gang or terrorist group, and increasing admissions would increase crime in the United States."
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_8kaTcV4pGGsSIzs,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should greatly decrease admissions of refugees and asylum seekers.,My city of residence should resettle somewhat less refugees and asylum seekers.,Refugees/asylum seekers are significantly less dangerous than the average resident in the US.,Strongly agree,Strongly agree,Significantly less likely,Conservative,Independent,"Not an immigrant, parents and grandparents are not immigrants",High school or equivalent,"White, not Hispanic/Latino",23,"$35,000 to $49,999",Non-binary / third gender,"Catholic ",Blandit euismod sed leo vulputate interdum accusamus nulla vivamus! Et tincidunt mi enim faucibus.,0,0,,"Some policymakers highlight chaos at the southern border. They say the overwhelming influx of illegal immigrants and asylum seekers trying to enter the country has caused loss of control of the border, delegitimizing our asylum system."
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_8H9gAisVSS6NB9Y,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_ah1TBnHrur8vzi6,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_enW0cMKB7NrpFe6,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle significantly less refugees and asylum seekers.,Refugees/asylum seekers are somewhat less dangerous than the average resident in the US.,Strongly agree,Strongly disagree,I am not a citizen of the United States and cannot vote,Very Liberal,Republican,"Not an immigrant, but at least one parent is an immigrant",High school or equivalent,Hispanic or Latino,37,"$35,000 to $49,999",Non-binary / third gender,Buddhist,"Tellus facilisis, vivamus dictumst? Aliquam velit consectetuer, nullam velit primis sodales temporibus.",0,0,,"Some policymakers highlight the dangers of accepting refugees and asylum seekers. They say there is a risk of the refugee or asylum seeker being a member of a gang or terrorist group, and increasing admissions would increase crime in the United States."
2021-12-06 00:11:46,2021-12-06 00:11:46,Survey Test,,100,0,True,2021-12-06 00:11:46,R_5uOxpb0jMtiVfng,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:46,2021-12-06 00:11:47,Survey Test,,100,1,True,2021-12-06 00:11:47,R_4N2BmP7RSdfpUvI,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should greatly decrease admissions of refugees and asylum seekers.,My city of residence should resettle significantly more refugees and asylum seekers.,Refugees/asylum seekers pose the same level of danger compared to the average resident in the US.,Neither agree nor disagree,Neither agree nor disagree,Less likely,,Other,Immigrant (foreign born),Bachelor's degree,Hispanic or Latino,58,"Over $100,000",Prefer not to say,Progressive,"Commodo tempus, aenean tincidunt viverra dui tortor. Wisi primis cursus pretium magnis tempora. Purus temporibus.",0,1,,There is an ongoing discussion on how to reform asylum and refugee policy.
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_baBNcAqK8UBr2eO,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_bKNu9hQFAtAXWsu,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should keep the same level of admissions of refugees and asylum seekers.,My city of residence should resettle somewhat less refugees and asylum seekers.,Refugees/asylum seekers are significantly less dangerous than the average resident in the US.,Strongly disagree,Disagree,More likely,Decline to answer,Democratic,Immigrant (foreign born),High school or equivalent,"Asian or Pacific Islander, not Hispanic/Latino",90,"$50,000 to $74,999",Female,Atheist,Tincidunt magnis bibendum malesuada? Et facilisis rhoncus atque metus temporibus platea.,0,0,,"Some policymakers highlight chaos at the southern border. They say the overwhelming influx of illegal immigrants and asylum seekers trying to enter the country has caused loss of control of the border, delegitimizing our asylum system."
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_eFXQBe7zwgMuU6O,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle somewhat more refugees and asylum seekers.,Refugees/asylum seekers are significantly less dangerous than the average resident in the US.,Agree,Strongly disagree,Significantly more likely,Liberal,Democratic,Immigrant (foreign born),Master's degree,Hispanic or Latino,80,"$50,000 to $74,999",Male,Protestant,Viverra magna ipsum. Pellentesque. Odio porta sollicitudin praesent auctor porta.,0,0,,There is an ongoing discussion on how to reform asylum and refugee policy.
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_bDSryTJQZi630s6,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should keep the same level of admissions of refugees and asylum seekers.,My city of residence should resettle somewhat more refugees and asylum seekers.,Refugees/asylum seekers pose the same level of danger compared to the average resident in the US.,Strongly disagree,Neither agree nor disagree,Significantly more likely,Very Conservative,Democratic,"Not an immigrant, parents and grandparents are not immigrants",High school or equivalent,"White, not Hispanic/Latino",47,"Less than $20,000",Prefer not to say,Agnostic,"Montes est? Cursus, quis nulla commodo! Urna rhoncus suspendisse est scelerisque elit felis.",0,0,,"Some policymakers highlight chaos at the southern border. They say the overwhelming influx of illegal immigrants and asylum seekers trying to enter the country has caused loss of control of the border, delegitimizing our asylum system."
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_2ogSS9f14HZ3F6C,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_cNEU3zilvArU2KW,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should greatly increase admissions of refugees and asylum seekers.,My city of residence should resettle somewhat more refugees and asylum seekers.,Refugees/asylum seekers are somewhat less dangerous than the average resident in the US.,Strongly agree,Agree,More likely,Very Conservative,Independent,"Not an immigrant, but at least one parent is an immigrant",Doctorate,"Black or African American, not Hispanic/Latino",60,"$35,000 to $49,999",Female,"Catholic ","Auctor wisi risus diam. Commodo, eros pellentesque placerat duis pharetra placerat ac, ac sollicitudin.",0,0,,"Some policymakers highlight the dangers of accepting refugees and asylum seekers. They say there is a risk of the refugee or asylum seeker being a member of a gang or terrorist group, and increasing admissions would increase crime in the United States."
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_8Idv0flQRUjubuC,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_ePWZchNIiqtx1kO,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Not famiiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle somewhat more refugees and asylum seekers.,Refugees/asylum seekers are somewhat less dangerous than the average resident in the US.,Agree,Neither agree nor disagree,More likely,Decline to answer,Republican,"Not an immigrant, parents are not immigrants, but at least one grandparent is an immigrant",Some college coursework completed,"White, not Hispanic/Latino",53,"Less than $20,000",Prefer not to say,Jewish,Auctor! Massa facilisis orci ipsum luctus. Commodo. Pede montes nonummy facilisi dui molestie diam.,0,0,,"Some policymakers highlight chaos at the southern border. They say the overwhelming influx of illegal immigrants and asylum seekers trying to enter the country has caused loss of control of the border, delegitimizing our asylum system."
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_d50CCxCgjpbb2Bw,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_236OEx8fYiZJCIK,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Very familiar,The United States should greatly decrease admissions of refugees and asylum seekers.,My city of residence should resettle somewhat more refugees and asylum seekers.,Refugees/asylum seekers pose the same level of danger compared to the average resident in the US.,Strongly disagree,Strongly disagree,Significantly more likely,,Democratic,Immigrant (foreign born),Technical or occupational certificate,Hispanic or Latino,67,"$20,000 to $34,999",Male,Secular,Natoque enim aenean interdum in leo fringilla laoreet. Euismod neque vel! Mi facilisis sagittis.,0,0,,There is an ongoing discussion on how to reform asylum and refugee policy.
2021-12-06 00:11:47,2021-12-06 00:11:47,Survey Test,,100,0,True,2021-12-06 00:11:47,R_8zUpxVTuGmdMVBI,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_dgy2EZschEatcge,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_e5oUpTYbF3Q1N78,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Not famiiar,The United States should greatly increase admissions of refugees and asylum seekers.,My city of residence should resettle the same number of refugees and asylum seekers.,Refugees/asylum seekers are significantly less dangerous than the average resident in the US.,Strongly disagree,Strongly agree,Significantly less likely,Moderate,Republican,"Not an immigrant, parents are not immigrants, but at least one grandparent is an immigrant",Bachelor's degree,Other,97,"$20,000 to $34,999",Male,Buddhist,Facilisis vulputate interdum nullam magna risus aliquam culpa consectetuer lectus gravida laoreet sit.,0,0,,"Some policymakers highlight the dangers of accepting refugees and asylum seekers. They say there is a risk of the refugee or asylum seeker being a member of a gang or terrorist group, and increasing admissions would increase crime in the United States."
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_erPejxLJDPxjb2m,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should greatly increase admissions of refugees and asylum seekers.,My city of residence should resettle somewhat less refugees and asylum seekers.,Refugees/asylum seekers are somewhat more dangerous than the average resident in the US.,Agree,Disagree,Significantly less likely,,Independent,Immigrant (foreign born),Other,"White, not Hispanic/Latino",78,"$35,000 to $49,999",Female,Non Traditional,"Egestas atque ridiculus tellus. Urna imperdiet! Aliquet sagittis? Euismod nec sem, convallis! Malesuada wisi.",0,0,,There is an ongoing discussion on how to reform asylum and refugee policy.
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_e4ASgR7VqYUYirA,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should greatly increase admissions of refugees and asylum seekers.,My city of residence should resettle significantly less refugees and asylum seekers.,Refugees/asylum seekers are somewhat more dangerous than the average resident in the US.,Neither agree nor disagree,Neither agree nor disagree,Significantly less likely,Very Liberal,Democratic,"Not an immigrant, but at least one parent is an immigrant",Technical or occupational certificate,"Black or African American, not Hispanic/Latino",48,"$35,000 to $49,999",Prefer not to say,Protestant,Placerat! Urna mi vitae dolorem! Dolorem dictumst. Volutpat sagittis odio molestie convallis.,0,0,,"Some policymakers highlight the dangers of accepting refugees and asylum seekers. They say there is a risk of the refugee or asylum seeker being a member of a gang or terrorist group, and increasing admissions would increase crime in the United States."
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_2c5jJHQN63jSzie,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_ePBReysyvtrt1Oe,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle somewhat less refugees and asylum seekers.,Refugees/asylum seekers are significantly less dangerous than the average resident in the US.,Strongly disagree,Strongly disagree,I am not a citizen of the United States and cannot vote,Very Liberal,Democratic,"Not an immigrant, but at least one parent is an immigrant",Bachelor's degree,"Asian or Pacific Islander, not Hispanic/Latino",86,"$35,000 to $49,999",Prefer not to say,Atheist,Interdum vitae mi blandit fermentum porta turpis auctor mattis tortor? Tempor. Nonummy.,0,0,,"Some policymakers highlight chaos at the southern border. They say the overwhelming influx of illegal immigrants and asylum seekers trying to enter the country has caused loss of control of the border, delegitimizing our asylum system."
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_5jejmE68ADg2zem,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Somewhat familiar,The United States should somewhat decrease admissions of refugees and asylum seekers.,My city of residence should resettle the same number of refugees and asylum seekers.,Refugees/asylum seekers are significantly more dangerous than the average resident in the US.,Disagree,Strongly agree,More likely,Very Conservative,Other,Immigrant (foreign born),Other,"White, not Hispanic/Latino",96,"$75,000 to $99,999",Male,Secular,"Ultricies imperdiet, ridiculus? Diam primis tellus dolorem faucibus platea facilisis dolor.",0,0,,"Some policymakers highlight chaos at the southern border. They say the overwhelming influx of illegal immigrants and asylum seekers trying to enter the country has caused loss of control of the border, delegitimizing our asylum system."
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_9EIPKmap72hVVki,,,,,32.8594970703125,-117.21240234375,test,,I do not agree to participate,,,,,,,,,,,,,,,,,,0,0,,
2021-12-06 00:11:48,2021-12-06 00:11:48,Survey Test,,100,0,True,2021-12-06 00:11:48,R_3lvlvCdiMyoAyea,,,,,32.8594970703125,-117.21240234375,test,,I agree to participate,Not famiiar,The United States should keep the same level of admissions of refugees and asylum seekers.,My city of residence should resettle somewhat less refugees and asylum seekers.,Refugees/asylum seekers are significantly more dangerous than the average resident in the US.,Strongly agree,Neither agree nor disagree,No change,Decline to answer,Democratic,Immigrant (foreign born),Some college coursework completed,Other,27,"$50,000 to $74,999",Non-binary / third gender,Secular,"Eu consectetuer fringilla ac, convallis donec, tortor eu erat dui vel ipsum facilisi.",0,0,,There is an ongoing discussion on how to reform asylum and refugee policy.
