"","X","StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","consent","base_knowledge","admission","acceptance","crime","influx","threat_perception","voting","ideology","party","immigrant_status","Q14","race","age","income","gender","religion","Q20","MobileDev","Q_TotalDuration","AmazonId","treatment","educ_d","education","age_binned","admission_dichotimized","acceptance_dichotimized","crime_dichotimized","influx_dichotimized","threat_dichotimized","voting_dichotimized","weight"
"34",337,"2021-12-06 12:33:10","2021-12-06 12:34:24","IP Address","65.31.180.86",100,74,"True","2021-12-06 12:34:24","R_XO2Wejp6e0g7wM9",NA,NA,NA,NA,42.8894958496094,-87.9074020385742,"anonymous","EN",1,2,2,1,2,2,-2,2,-2,"Democrat",0,"High school or equivalent","White",25,"Less than $20,000","Male","Protestant","no",0,74,"A3LL096CAY5WHB","traditional security","High school or less","Associate or less","25 to 39",0,0,0,0,1,0,0.869561900918844
"35",338,"2021-12-06 12:46:20","2021-12-06 12:51:57","IP Address","73.198.13.141",100,336,"True","2021-12-06 12:51:57","R_1Q4sx3ZAXjzLAQV",NA,NA,NA,NA,39.3773040771484,-74.6122970581055,"anonymous","EN",1,1,-1,-1,-1,-1,1,-1,-1,"Democrat",0,"Bachelor's degree","White",28,"$50,000 to $74,999","Male","Catholic ","",0,336,"A3UV55HC87DO9C","border security","Bachelor's degree","Bachelor or higher","25 to 39",1,1,1,1,0,1,0.29946735993746
"36",339,"2021-12-06 12:56:44","2021-12-06 12:58:45","IP Address","72.197.143.19",100,120,"True","2021-12-06 12:58:45","R_27Hd8dbFqWrsNtn",NA,NA,NA,NA,32.7104034423828,-117.052795410156,"anonymous","EN",1,0,1,1,2,1,-2,1,-1,"Democrat",0,"Some college coursework completed","Hispanic or Latino",33,"$35,000 to $49,999","Female","Spiritual—not religious","no",0,120,"A2FHJCRBRP7VH4","control","Some college/Associates","Associate or less","25 to 39",0,0,0,0,1,0,3.76070641267046
"37",340,"2021-12-06 13:01:05","2021-12-06 13:02:44","IP Address","75.191.84.240",100,99,"True","2021-12-06 13:02:44","R_1oupPo8w8GiZmuD",NA,NA,NA,NA,36.1168060302734,-80.0837020874023,"anonymous","EN",1,1,1,1,0,2,-2,2,-2,"Democrat",0,"Bachelor's degree","White",30,"$75,000 to $99,999","Male","Agnostic","This was a fascinating study.",0,99,"A2WPKP73S4MBLK","control","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,0,1,0,0.29946735993746
"38",341,"2021-12-06 13:10:55","2021-12-06 13:12:05","IP Address","154.13.55.239",100,70,"True","2021-12-06 13:12:05","R_cClECQtXUXM10m5",NA,NA,NA,NA,40.8204956054688,-73.9182968139648,"anonymous","EN",1,1,1,0,0,0,0,0,-1,"Democrat",0,"Bachelor's degree","Black or African American",41,"$50,000 to $74,999","Male","Catholic ","NONE",0,70,"A1RESSL9HZF2NR","traditional security","Bachelor's degree","Bachelor or higher","40 to 59",0,0,0,0,0,0,0.880095575236649
"39",342,"2021-12-06 13:10:40","2021-12-06 13:21:36","IP Address","192.126.231.52",100,656,"True","2021-12-06 13:21:37","R_3EJTUKrd2iv3xW7",NA,NA,NA,NA,37.7510070800781,-97.8219985961914,"anonymous","EN",1,2,2,1,-1,2,0,1,0,"Republican",0,"Master's degree","White",25,"$75,000 to $99,999","Female","Other","good",0,656,"A3I6KVLRM43E8D","border security","Postgraduate degree","Bachelor or higher","25 to 39",0,0,1,0,0,0,0.392022400771548
"40",343,"2021-12-06 13:29:38","2021-12-06 13:31:04","IP Address","23.82.128.20",100,86,"True","2021-12-06 13:31:04","R_3Dpu2GlXeNiAvcs",NA,NA,NA,NA,37.7510070800781,-97.8219985961914,"anonymous","EN",1,2,1,2,-1,2,1,1,-2,"Democrat",0,"Bachelor's degree","White",30,"Over $100,000","Male","Catholic ","nice",0,86,"A3FYRJ4V8P3A6Q","control","Bachelor's degree","Bachelor or higher","25 to 39",0,0,1,0,0,0,0.29946735993746
"41",344,"2021-12-06 13:29:03","2021-12-06 13:31:42","IP Address","98.168.47.119",100,158,"True","2021-12-06 13:31:42","R_5nXRXIp05ykzRXH",NA,NA,NA,NA,33.5594024658203,-112.090202331543,"anonymous","EN",1,1,-1,0,-1,-1,1,-2,-1,"Democrat",0,"Some college coursework completed","White",58,"$20,000 to $34,999","Female","Catholic ","",0,158,"A348NEQKS6VNIB","traditional security","Some college/Associates","Associate or less","40 to 59",1,0,1,1,0,1,2.34375586293784
"42",345,"2021-12-06 14:42:33","2021-12-06 14:48:42","IP Address","108.73.95.238",100,368,"True","2021-12-06 14:48:42","R_u3NgyI8LNFm6z4t",NA,NA,NA,NA,32.9635925292969,-96.7468032836914,"anonymous","EN",1,1,-2,-2,-1,-2,1,-2,1,"Republican",0,"Bachelor's degree","White",47,"Less than $20,000","Male","Protestant","A3FGT6EU39C6S4",0,368,"A3FGT6EU39C6S4","traditional security","Bachelor's degree","Bachelor or higher","40 to 59",1,1,1,1,0,1,0.780842809307249
"43",346,"2021-12-06 14:44:37","2021-12-06 14:52:27","IP Address","73.102.194.37",100,470,"True","2021-12-06 14:52:28","R_1gCrKXdrXjFxdn1",NA,NA,NA,NA,39.2050933837891,-85.9324035644531,"anonymous","EN",1,0,0,0,-1,1,2,-2,0,"Other",1,"Some college coursework completed","Asian or Pacific Islander",21,"$20,000 to $34,999","Female","Other","No",0,470,"A222GZB608T1B8","border security","Some college/Associates","Associate or less","18 to 24",0,0,1,0,0,1,6
"44",347,"2021-12-06 15:03:36","2021-12-06 15:05:11","IP Address","67.171.173.255",100,94,"True","2021-12-06 15:05:11","R_puX4JQHVmZ5AVoJ",NA,NA,NA,NA,45.3715972900391,-122.765594482422,"anonymous","EN",1,1,0,-1,-1,-1,1,-2,-1,"Democrat",0,"High school or equivalent","White",35,"$35,000 to $49,999","Male","Atheist","",0,94,"A1AZ97YYFVWFGC","control","High school or less","Associate or less","25 to 39",0,1,1,1,0,1,0.869561900918844
"45",348,"2021-12-06 15:12:31","2021-12-06 15:15:48","IP Address","73.102.194.37",100,196,"True","2021-12-06 15:15:48","R_WvWy9y0xNAXW7lv",NA,NA,NA,NA,39.2050933837891,-85.9324035644531,"anonymous","EN",1,0,0,0,-2,1,-2,-2,0,"Other",1,"Bachelor's degree","Asian or Pacific Islander",43,"$35,000 to $49,999","Female","Other","No",0,196,"A2BUHMLNE3LUU0","traditional security","Bachelor's degree","Bachelor or higher","40 to 59",0,0,1,0,1,1,0.960200427849031
"46",349,"2021-12-06 13:31:25","2021-12-06 15:25:05","IP Address","72.22.43.147",100,6820,"True","2021-12-06 15:25:06","R_2aqRaJSx6ImdZW9",NA,NA,NA,NA,39.0469055175781,-77.4903030395508,"anonymous","EN",1,2,1,1,0,1,2,1,1,"Republican",1,"Bachelor's degree","Asian or Pacific Islander",25,"$50,000 to $74,999","Male","Catholic ","Nice",0,6820,"A2BNG9PY8FHUX0","border security","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,0,0,0,0.375545359464933
"47",350,"2021-12-06 15:25:11","2021-12-06 15:26:58","IP Address","73.164.31.186",100,106,"True","2021-12-06 15:26:58","R_10YMn81SgHDCfW7",NA,NA,NA,NA,45.16650390625,-93.3215026855469,"anonymous","EN",1,2,-2,-2,-1,-2,2,-2,0,"Other",0,"Bachelor's degree","White",25,"$50,000 to $74,999","Male","Agnostic","",0,106,"A25CZJEFKXF4UV","control","Bachelor's degree","Bachelor or higher","25 to 39",1,1,1,1,0,1,0.470898209055271
"48",351,"2021-12-06 15:59:15","2021-12-06 16:00:53","IP Address","68.202.176.60",100,97,"True","2021-12-06 16:00:53","R_2OSDRPvWtDtlp35",NA,NA,NA,NA,29.00390625,-82.1886978149414,"anonymous","EN",1,1,-1,0,0,-2,0,-2,0,"Other",0,"High school or equivalent","White",27,"Less than $20,000","Male","Other","",1,97,"A2H2DJL45BZBD","border security","High school or less","Associate or less","25 to 39",1,0,0,1,0,1,2.28571365721951
"49",352,"2021-12-06 16:01:54","2021-12-06 16:03:30","IP Address","174.78.15.204",100,96,"True","2021-12-06 16:03:31","R_1CmxflSWLx7jLFK",NA,NA,NA,NA,33.6459045410156,-117.842697143555,"anonymous","EN",1,1,0,0,1,1,-2,0,0,"Other",0,"High school or equivalent","Other",37,"$35,000 to $49,999","Male","Spiritual—not religious","no",0,96,"A3VEF4M5FIN7KH","control","High school or less","Associate or less","25 to 39",0,0,0,0,1,0,3.81014026724534
"50",353,"2021-12-06 17:33:56","2021-12-06 17:36:05","IP Address","155.193.51.145",100,129,"True","2021-12-06 17:36:06","R_41uMT3tLQuUFktz",NA,NA,NA,NA,35.8332061767578,-78.847297668457,"anonymous","EN",1,2,0,-1,0,2,1,1,1,"Republican",0,"Bachelor's degree","Asian or Pacific Islander",25,"$50,000 to $74,999","Male","Catholic ","Nice",0,129,"A1M778TL98248E","traditional security","Bachelor's degree","Bachelor or higher","25 to 39",0,1,0,0,0,0,0.375545359464933
"51",354,"2021-12-06 16:25:33","2021-12-06 17:41:54","IP Address","181.215.41.206",100,4581,"True","2021-12-06 17:41:55","R_BMpr6l5nSbYbXLr",NA,NA,NA,NA,40.7156982421875,-74,"anonymous","EN",1,1,2,1,-2,1,1,1,2,"Republican",0,"Bachelor's degree","Asian or Pacific Islander",25,"$50,000 to $74,999","Female","Catholic ","NICE",0,4581,"ATKX1EZ2Z9OEM","border security","Bachelor's degree","Bachelor or higher","25 to 39",0,0,1,0,0,0,0.375545359464933
"52",355,"2021-12-08 10:05:44","2021-12-08 10:06:55","IP Address","73.137.67.180",100,71,"True","2021-12-08 10:06:55","R_2dBcIUYEBFc7ifx",NA,NA,NA,NA,34.2848968505859,-85.2253036499023,"anonymous","EN",1,1,0,0,0,0,0,0,0,"Other",0,"Associate degree","White",43,"Less than $20,000","Male","Agnostic","",0,71,"ARPBDM5QZ4XQC","traditional security","Some college/Associates","Associate or less","40 to 59",0,0,0,0,0,0,6
"53",356,"2021-12-08 10:05:53","2021-12-08 10:07:28","IP Address","167.142.53.78",100,94,"True","2021-12-08 10:07:28","R_2U4Mq9zj8G4lExs",NA,NA,NA,NA,41.6622009277344,-91.5149002075195,"anonymous","EN",1,1,1,1,0,1,-1,1,0,"Democrat",0,"Bachelor's degree","White",38,"$50,000 to $74,999","Male","Agnostic","No",0,94,"AFRKVRPZ2RHY8","control","Bachelor's degree","Bachelor or higher","25 to 39",0,0,0,0,1,0,0.29946735993746
